,open,high,low,close
2023-06-28 11:58:00,585.65,586.0,585.45,585.9
2023-06-28 11:59:00,585.85,586.0,585.6,585.6
2023-06-28 12:00:00,585.8,585.95,585.6,585.75
2023-06-28 12:01:00,585.8,585.8,585.55,585.6
2023-06-28 12:02:00,585.55,585.7,585.3,585.55
2023-06-28 12:03:00,585.5,585.65,585.3,585.4
2023-06-28 12:04:00,585.45,585.5,585.4,585.4
2023-06-28 12:05:00,585.45,585.45,585.0,585.0
2023-06-28 12:06:00,585.05,585.55,585.0,585.15
2023-06-28 12:07:00,585.4,585.4,585.15,585.35
2023-06-28 12:08:00,585.4,585.4,585.2,585.2
2023-06-28 12:09:00,585.3,585.4,585.05,585.35
2023-06-28 12:10:00,585.4,585.4,585.1,585.1
2023-06-28 12:11:00,585.35,585.95,585.15,585.55
2023-06-28 12:12:00,585.7,585.7,585.1,585.1
2023-06-28 12:13:00,585.25,585.45,585.1,585.3
